Medicine ID,Order ID,Name,Description,Batch Number,Order Date,Quantity of Order,Current Stage,Current Stage Location,Days in Current Stage,Expiry Date,Days to Expiry,Retailer Location,Distributor Location,Manufacturer Location,Raw Material Supplier Location,Stock at Distributor,Stock Status,Sales Quantity,Sale Date
M-1013,O-18578,Montelukast,Prevents asthma & seasonal allergies.,B-7064,2022-02-06,86600,Ret,Jaipur,1,2025-01-23,42.0,Jaipur,Ahmedabad,Hyderabad,Ahmedabad,0,,7440.0,2022-07-02
M-1013,O-45411,Montelukast,Prevents asthma & seasonal allergies.,B-6109,2022-02-06,55780,Dis,Delhi,1,2024-06-25,-170.0,Jaipur,Delhi,Lucknow,Mumbai,10747,Understock,,2024-04-09
M-1006,O-45760,Omeprazole,Treats GERD and other stomach issues.,B-9106,2023-10-17,83300,Dis,Chennai,18,2024-12-02,-10.0,Mumbai,Chennai,Bangalore,Delhi,37700,Optimal,,2024-03-15
M-1011,O-86266,Pantoprazole,Treats stomach & esophagus problems.,B-6965,2024-06-22,96700,Ret,Chennai,19,2027-06-11,911.0,Chennai,Hyderabad,Delhi,Ahmedabad,0,,7440.0,2024-10-29
M-1006,O-49721,Omeprazole,Treats GERD and other stomach issues.,B-4547,2023-10-12,24080,Dis,Jaipur,14,2025-03-31,109.0,Ahmedabad,Jaipur,Delhi,Mumbai,22716,Understock,,2024-06-08
M-1003,O-33495,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-2471,2020-12-25,28670,Man,Chennai,3,2023-10-27,-412.0,Mumbai,Lucknow,Chennai,Pune,0,,,2023-03-26
M-1004,O-45189,Azithromycin,Antibiotic for bacterial infections.,B-8549,2021-10-10,94690,Ret,Lucknow,16,2022-08-01,-864.0,Lucknow,Ahmedabad,Hyderabad,Delhi,0,,8680.0,2021-11-24
M-1006,O-62938,Omeprazole,Treats GERD and other stomach issues.,B-2489,2021-11-04,58010,Ret,Jaipur,13,2023-01-04,-708.0,Jaipur,Chennai,Kolkata,Mumbai,0,,7510.0,2023-11-06
M-1009,O-29609,Cefixime,Antibiotic for respiratory and UTI infections.,B-5398,2023-01-29,29090,Man,Chennai,3,2023-10-17,-422.0,Chennai,Delhi,Chennai,Chennai,0,,,2023-02-15
M-1013,O-94129,Montelukast,Prevents asthma & seasonal allergies.,B-3898,2022-10-07,81200,RMS,Pune,797,2025-09-11,,Jaipur,Bangalore,Mumbai,Pune,0,,,2024-06-10
M-1010,O-82352,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-2723,2020-10-16,58644,Dis,Delhi,22,2022-08-02,-863.0,Pune,Delhi,Lucknow,Hyderabad,8133,Understock,,2020-11-24
M-1009,O-39445,Cefixime,Antibiotic for respiratory and UTI infections.,B-7358,2023-01-26,93630,RMS,Ahmedabad,686,2025-07-26,,Delhi,Lucknow,Bangalore,Ahmedabad,0,,,2024-04-19
M-1004,O-80717,Azithromycin,Antibiotic for bacterial infections.,B-4222,2023-12-19,99730,Ret,Jaipur,18,2026-03-10,453.0,Jaipur,Ahmedabad,Kolkata,Chennai,0,,7180.0,2024-10-31
M-1007,O-19860,Cetirizine,Antihistamine for allergy symptoms.,B-8097,2021-02-15,31560,Ret,Hyderabad,5,2023-07-08,-523.0,Hyderabad,Lucknow,Mumbai,Ahmedabad,0,,3860.0,2023-01-10
M-1014,O-83817,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-2603,2023-08-31,81488,Ret,Bangalore,27,2026-05-15,519.0,Bangalore,Jaipur,Bangalore,Bangalore,0,,4210.0,2024-11-18
M-1000,O-70881,Paracetamol,Relieves fever & mild to moderate pain.,B-8053,2024-11-10,53740,Man,Kolkata,28,2025-11-27,350.0,Lucknow,Chennai,Kolkata,Bangalore,0,,,2024-11-23
M-1003,O-29645,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-1310,2022-03-06,90700,Man,Delhi,6,2023-01-21,-691.0,Ahmedabad,Hyderabad,Delhi,Pune,0,,,2024-02-26
M-1004,O-88832,Azithromycin,Antibiotic for bacterial infections.,B-8899,2024-10-19,90340,RMS,Delhi,54,2025-05-19,,Pune,Pune,Jaipur,Delhi,0,,,2024-11-29
M-1000,O-91086,Paracetamol,Relieves fever & mild to moderate pain.,B-4160,2024-11-02,76210,Man,Bangalore,22,2026-05-13,517.0,Hyderabad,Hyderabad,Bangalore,Hyderabad,0,,,2024-11-13
M-1010,O-16696,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-3136,2022-06-23,76440,Dis,Ahmedabad,6,2024-12-30,18.0,Hyderabad,Ahmedabad,Pune,Hyderabad,12770,Understock,,2023-08-06
M-1000,O-61938,Paracetamol,Relieves fever & mild to moderate pain.,B-1648,2022-03-22,35320,RMS,Lucknow,996,2024-12-27,,Hyderabad,Chennai,Bangalore,Lucknow,0,,,2023-07-13
M-1013,O-20370,Montelukast,Prevents asthma & seasonal allergies.,B-5022,2023-07-27,79700,Man,Lucknow,18,2025-03-07,85.0,Chennai,Lucknow,Lucknow,Kolkata,0,,,2023-08-05
M-1013,O-81471,Montelukast,Prevents asthma & seasonal allergies.,B-1749,2021-10-31,21170,Dis,Lucknow,23,2024-05-21,-205.0,Kolkata,Lucknow,Lucknow,Chennai,14190,Understock,,2022-03-19
M-1014,O-12875,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-3234,2024-01-05,92570,RMS,Chennai,342,2025-12-02,,Delhi,Bangalore,Bangalore,Chennai,0,,,2024-03-07
M-1002,O-60763,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-6608,2022-05-31,1270,RMS,Kolkata,926,2024-08-17,,Delhi,Chennai,Bangalore,Kolkata,0,,,2022-10-13
M-1009,O-63098,Cefixime,Antibiotic for respiratory and UTI infections.,B-9861,2020-08-29,51430,Ret,Chennai,6,2023-03-01,-652.0,Chennai,Mumbai,Jaipur,Kolkata,0,,3720.0,2022-10-11
M-1013,O-67442,Montelukast,Prevents asthma & seasonal allergies.,B-3717,2021-07-05,11160,Dis,Kolkata,12,2022-07-20,-876.0,Lucknow,Kolkata,Chennai,Kolkata,28058,Understock,,2023-07-21
M-1009,O-16635,Cefixime,Antibiotic for respiratory and UTI infections.,B-7910,2021-05-20,67940,Dis,Pune,1,2023-01-20,-692.0,Hyderabad,Pune,Bangalore,Pune,10910,Understock,,2022-06-19
M-1012,O-31768,Levofloxacin,Antibiotic for bacterial infections.,B-7048,2021-09-05,80360,Man,Lucknow,17,2022-12-10,-733.0,Pune,Jaipur,Lucknow,Chennai,0,,,2023-05-01
M-1010,O-77720,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-7249,2024-03-24,72580,Man,Hyderabad,30,2026-08-28,624.0,Kolkata,Chennai,Hyderabad,Pune,0,,,2024-07-27
M-1005,O-39828,Metformin,Controls blood sugar in type 2 diabetes.,B-2933,2023-06-16,47120,RMS,Ahmedabad,545,2025-06-22,,Lucknow,Lucknow,Hyderabad,Ahmedabad,0,,,2024-05-04
M-1003,O-81441,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-1856,2022-12-07,89950,RMS,Hyderabad,736,2025-06-29,,Ahmedabad,Jaipur,Pune,Hyderabad,0,,,2024-03-16
M-1014,O-65843,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-3154,2021-03-21,42430,RMS,Kolkata,1362,2023-03-14,,Ahmedabad,Jaipur,Ahmedabad,Kolkata,0,,,2022-05-24
M-1002,O-53766,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-7997,2023-03-24,8558,Ret,Bangalore,18,2023-11-27,-381.0,Bangalore,Mumbai,Delhi,Jaipur,0,,4790.0,2023-07-19
M-1011,O-30649,Pantoprazole,Treats stomach & esophagus problems.,B-6758,2023-03-17,91840,Man,Mumbai,29,2024-10-20,-53.0,Mumbai,Hyderabad,Mumbai,Bangalore,0,,,2024-01-21
M-1013,O-75127,Montelukast,Prevents asthma & seasonal allergies.,B-9092,2024-03-30,41480,Man,Hyderabad,2,2026-05-13,517.0,Pune,Lucknow,Hyderabad,Chennai,0,,,2024-11-18
M-1004,O-49918,Azithromycin,Antibiotic for bacterial infections.,B-6137,2022-05-29,61580,Man,Chennai,1,2023-01-15,-697.0,Delhi,Bangalore,Chennai,Pune,0,,,2022-12-28
M-1013,O-32710,Montelukast,Prevents asthma & seasonal allergies.,B-7966,2020-12-06,95540,RMS,Bangalore,1467,2022-05-03,,Chennai,Kolkata,Jaipur,Bangalore,0,,,2024-11-11
M-1000,O-63186,Paracetamol,Relieves fever & mild to moderate pain.,B-6547,2023-05-25,40130,Man,Kolkata,18,2025-11-20,343.0,Hyderabad,Bangalore,Kolkata,Mumbai,0,,,2024-05-20
M-1014,O-42576,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-5536,2022-01-23,69100,Ret,Kolkata,5,2022-12-18,-725.0,Kolkata,Jaipur,Lucknow,Hyderabad,0,,1010.0,2023-02-01
M-1000,O-50404,Paracetamol,Relieves fever & mild to moderate pain.,B-7633,2022-08-10,52480,Dis,Pune,3,2024-02-05,-311.0,Chennai,Pune,Pune,Bangalore,33834,Understock,,2023-06-11
M-1005,O-54807,Metformin,Controls blood sugar in type 2 diabetes.,B-1154,2024-07-27,78140,Man,Pune,4,2027-05-10,879.0,Bangalore,Chennai,Pune,Chennai,0,,,2024-10-21
M-1002,O-94306,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-9730,2023-07-11,55060,Ret,Ahmedabad,15,2025-08-14,245.0,Ahmedabad,Mumbai,Pune,Ahmedabad,0,,8940.0,2023-09-13
M-1013,O-39498,Montelukast,Prevents asthma & seasonal allergies.,B-6264,2024-06-11,98830,Man,Jaipur,6,2026-09-27,654.0,Hyderabad,Hyderabad,Jaipur,Pune,0,,,2024-06-15
M-1013,O-99186,Montelukast,Prevents asthma & seasonal allergies.,B-4013,2023-11-27,49610,Dis,Lucknow,13,2026-02-26,441.0,Bangalore,Lucknow,Pune,Ahmedabad,7746,Understock,,2024-01-21
M-1000,O-78963,Paracetamol,Relieves fever & mild to moderate pain.,B-9990,2024-04-21,42370,Dis,Delhi,3,2026-04-05,479.0,Delhi,Delhi,Jaipur,Pune,4324,Understock,,2024-11-03
M-1012,O-64826,Levofloxacin,Antibiotic for bacterial infections.,B-4516,2022-12-03,59295,RMS,Mumbai,740,2023-07-31,,Lucknow,Ahmedabad,Delhi,Mumbai,0,,,2023-06-23
M-1013,O-92485,Montelukast,Prevents asthma & seasonal allergies.,B-1300,2021-02-06,17350,Ret,Mumbai,11,2021-11-05,-1133.0,Mumbai,Kolkata,Delhi,Chennai,0,,9320.0,2022-11-15
M-1010,O-11104,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-1153,2021-09-08,66770,RMS,Bangalore,1191,2024-04-13,,Delhi,Jaipur,Hyderabad,Bangalore,0,,,2023-08-31
M-1014,O-18317,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-1845,2020-08-30,14553,Ret,Chennai,25,2022-10-18,-786.0,Chennai,Bangalore,Mumbai,Hyderabad,0,,9000.0,2024-01-13
M-1000,O-39371,Paracetamol,Relieves fever & mild to moderate pain.,B-2754,2020-01-09,183660,Ret,Chennai,20,2021-02-20,-1391.0,Chennai,Lucknow,Lucknow,Hyderabad,0,,2870.0,2023-05-23
M-1013,O-90238,Montelukast,Prevents asthma & seasonal allergies.,B-4039,2023-10-26,34420,RMS,Kolkata,413,2025-08-02,,Bangalore,Pune,Delhi,Kolkata,0,,,2023-11-05
M-1010,O-26167,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-8118,2021-04-30,12220,Man,Kolkata,11,2023-07-18,-513.0,Ahmedabad,Chennai,Kolkata,Delhi,0,,,2022-06-05
M-1011,O-93438,Pantoprazole,Treats stomach & esophagus problems.,B-5819,2022-02-16,66990,Dis,Ahmedabad,9,2023-07-23,-508.0,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,10046,Understock,,2024-06-07
M-1001,O-30562,Amoxicillin,Antibiotic for bacterial infections.,B-6936,2022-10-23,74530,Man,Chennai,2,2024-11-13,-29.0,Mumbai,Kolkata,Chennai,Jaipur,0,,,2023-03-08
M-1000,O-84324,Paracetamol,Relieves fever & mild to moderate pain.,B-1005,2020-03-29,11220,Dis,Lucknow,3,2022-09-09,-825.0,Delhi,Lucknow,Ahmedabad,Lucknow,22328,Understock,,2024-01-14
M-1014,O-65688,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-2446,2023-05-01,63390,Dis,Hyderabad,22,2025-11-04,327.0,Hyderabad,Hyderabad,Pune,Jaipur,32408,Understock,,2023-10-06
M-1003,O-55289,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-5849,2020-08-20,80450,Man,Pune,7,2022-06-22,-904.0,Delhi,Hyderabad,Pune,Bangalore,0,,,2020-09-17
M-1005,O-98394,Metformin,Controls blood sugar in type 2 diabetes.,B-4868,2024-06-23,46540,Man,Pune,6,2026-09-17,644.0,Kolkata,Hyderabad,Pune,Delhi,0,,,2024-09-06
M-1005,O-88261,Metformin,Controls blood sugar in type 2 diabetes.,B-9911,2022-07-10,55860,Dis,Delhi,19,2023-07-15,-516.0,Pune,Delhi,Delhi,Kolkata,7299,Understock,,2023-12-24
M-1003,O-22197,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-4649,2023-09-23,72730,Ret,Jaipur,5,2026-05-17,521.0,Jaipur,Jaipur,Jaipur,Kolkata,0,,2850.0,2024-01-13
M-1010,O-28788,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-9389,2024-12-07,41550,Ret,Ahmedabad,19,2026-10-11,668.0,Ahmedabad,Kolkata,Hyderabad,Pune,0,,4960.0,2024-12-12
M-1001,O-98116,Amoxicillin,Antibiotic for bacterial infections.,B-5230,2020-03-07,59720,Man,Bangalore,24,2022-04-21,-966.0,Mumbai,Lucknow,Bangalore,Jaipur,0,,,2022-06-19
M-1013,O-21466,Montelukast,Prevents asthma & seasonal allergies.,B-6184,2022-11-26,35040,Dis,Kolkata,1,2024-03-28,-259.0,Hyderabad,Kolkata,Kolkata,Jaipur,27509,Understock,,2024-01-18
M-1007,O-75429,Cetirizine,Antihistamine for allergy symptoms.,B-4578,2023-06-30,111204,Ret,Mumbai,15,2025-06-16,186.0,Mumbai,Chennai,Jaipur,Ahmedabad,0,,9690.0,2023-08-26
M-1004,O-21433,Azithromycin,Antibiotic for bacterial infections.,B-9995,2024-06-05,25270,Ret,Lucknow,22,2027-05-25,894.0,Lucknow,Hyderabad,Bangalore,Pune,0,,4130.0,2024-08-15
M-1009,O-32568,Cefixime,Antibiotic for respiratory and UTI infections.,B-5989,2024-12-07,81230,Man,Ahmedabad,5,2027-06-19,919.0,Pune,Kolkata,Ahmedabad,Jaipur,0,,,2024-12-08
M-1003,O-31059,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-7830,2022-12-28,82460,Man,Ahmedabad,1,2025-03-10,88.0,Chennai,Lucknow,Ahmedabad,Ahmedabad,0,,,2023-05-25
M-1009,O-61627,Cefixime,Antibiotic for respiratory and UTI infections.,B-1610,2019-12-26,30610,Man,Hyderabad,1,2022-02-09,-1037.0,Lucknow,Mumbai,Hyderabad,Mumbai,0,,,2020-04-24
M-1014,O-92513,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-6778,2023-05-16,83180,Man,Ahmedabad,9,2024-12-24,12.0,Jaipur,Chennai,Ahmedabad,Mumbai,0,,,2023-07-02
M-1006,O-24342,Omeprazole,Treats GERD and other stomach issues.,B-2274,2021-02-25,84390,Man,Hyderabad,2,2021-11-23,-1115.0,Pune,Kolkata,Hyderabad,Mumbai,0,,,2024-09-19
M-1008,O-75760,Dolo 650,Brand of paracetamol for pain & fever.,B-9118,2023-12-23,140520,Dis,Delhi,19,2026-08-07,603.0,Delhi,Delhi,Hyderabad,Lucknow,36180,Optimal,,2024-07-14
M-1011,O-50832,Pantoprazole,Treats stomach & esophagus problems.,B-6330,2021-01-28,97295,RMS,Bangalore,1414,2022-05-12,,Kolkata,Jaipur,Ahmedabad,Bangalore,0,,,2023-08-07
M-1000,O-45137,Paracetamol,Relieves fever & mild to moderate pain.,B-2712,2020-05-24,33900,Man,Chennai,14,2022-02-17,-1029.0,Pune,Pune,Chennai,Chennai,0,,,2022-09-25
M-1004,O-52682,Azithromycin,Antibiotic for bacterial infections.,B-6484,2021-08-21,35520,Dis,Ahmedabad,29,2024-04-25,-231.0,Lucknow,Ahmedabad,Delhi,Pune,7123,Understock,,2023-10-07
M-1004,O-32592,Azithromycin,Antibiotic for bacterial infections.,B-8655,2023-10-15,8790,Man,Jaipur,22,2024-09-20,-83.0,Hyderabad,Delhi,Jaipur,Lucknow,0,,,2024-06-29
M-1002,O-74253,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-3433,2023-05-19,5260,Man,Bangalore,1,2024-11-26,-16.0,Lucknow,Lucknow,Bangalore,Chennai,0,,,2024-09-30
M-1012,O-49816,Levofloxacin,Antibiotic for bacterial infections.,B-2299,2019-12-30,22380,RMS,Chennai,1809,2020-08-26,,Kolkata,Pune,Jaipur,Chennai,0,,,2023-07-31
M-1008,O-83483,Dolo 650,Brand of paracetamol for pain & fever.,B-5452,2024-09-17,4180,Dis,Ahmedabad,22,2027-02-22,802.0,Kolkata,Ahmedabad,Hyderabad,Kolkata,18319,Understock,,2024-12-04
M-1013,O-89920,Montelukast,Prevents asthma & seasonal allergies.,B-2182,2024-04-10,33312,RMS,Bangalore,246,2025-02-16,,Delhi,Bangalore,Mumbai,Bangalore,0,,,2024-06-20
M-1010,O-60184,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-6286,2020-10-29,48972,Dis,Ahmedabad,15,2022-12-30,-713.0,Bangalore,Ahmedabad,Mumbai,Chennai,34219,Understock,,2024-02-10
M-1014,O-47733,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-1426,2023-12-26,6330,Ret,Pune,13,2026-07-27,592.0,Pune,Ahmedabad,Ahmedabad,Delhi,0,,4290.0,2024-04-06
M-1009,O-67792,Cefixime,Antibiotic for respiratory and UTI infections.,B-4186,2021-01-14,86770,RMS,Chennai,1428,2021-10-16,,Pune,Mumbai,Delhi,Chennai,0,,,2022-11-02
M-1005,O-63239,Metformin,Controls blood sugar in type 2 diabetes.,B-3145,2020-05-23,91130,RMS,Bangalore,1664,2021-09-20,,Jaipur,Jaipur,Bangalore,Bangalore,0,,,2022-12-24
M-1012,O-72039,Levofloxacin,Antibiotic for bacterial infections.,B-1328,2023-02-13,75680,RMS,Mumbai,668,2023-12-06,,Hyderabad,Bangalore,Lucknow,Mumbai,0,,,2024-08-15
M-1009,O-93612,Cefixime,Antibiotic for respiratory and UTI infections.,B-8991,2023-06-21,104004,RMS,Pune,540,2024-06-05,,Mumbai,Lucknow,Bangalore,Pune,0,,,2023-10-28
M-1010,O-40860,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-7387,2022-03-12,81420,Ret,Bangalore,23,2024-10-11,-62.0,Bangalore,Mumbai,Ahmedabad,Jaipur,0,,9310.0,2023-11-20
M-1006,O-96531,Omeprazole,Treats GERD and other stomach issues.,B-2660,2022-07-28,2800,Dis,Hyderabad,29,2023-05-27,-565.0,Bangalore,Hyderabad,Pune,Jaipur,37596,Understock,,2022-10-07
M-1001,O-26875,Amoxicillin,Antibiotic for bacterial infections.,B-1065,2022-10-04,56370,Man,Delhi,18,2024-07-05,-160.0,Chennai,Delhi,Delhi,Pune,0,,,2023-10-10
M-1012,O-26388,Levofloxacin,Antibiotic for bacterial infections.,B-9108,2022-07-01,42960,Dis,Hyderabad,9,2023-02-09,-672.0,Kolkata,Hyderabad,Mumbai,Delhi,1172,Understock,,2024-01-18
M-1007,O-41468,Cetirizine,Antihistamine for allergy symptoms.,B-6488,2022-03-15,40760,Dis,Bangalore,19,2022-10-14,-790.0,Kolkata,Bangalore,Pune,Ahmedabad,30473,Understock,,2023-07-25
M-1005,O-76106,Metformin,Controls blood sugar in type 2 diabetes.,B-2591,2022-08-22,18080,RMS,Chennai,843,2025-07-13,,Delhi,Delhi,Chennai,Chennai,0,,,2024-01-29
M-1002,O-31810,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-3381,2024-04-10,53540,Ret,Hyderabad,9,2026-11-23,711.0,Hyderabad,Jaipur,Bangalore,Chennai,0,,6960.0,2024-11-25
M-1003,O-80089,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-5112,2023-07-30,110903,Dis,Lucknow,12,2025-05-25,164.0,Mumbai,Lucknow,Bangalore,Hyderabad,31873,Optimal,,2024-09-22
M-1000,O-34345,Paracetamol,Relieves fever & mild to moderate pain.,B-7339,2021-09-05,31730,Dis,Lucknow,2,2023-04-06,-616.0,Pune,Lucknow,Lucknow,Bangalore,41053,Understock,,2022-03-26
M-1014,O-33695,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-9827,2024-05-18,84090,RMS,Delhi,208,2024-12-27,,Hyderabad,Hyderabad,Jaipur,Delhi,0,,,2024-09-10
M-1002,O-67028,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-8900,2023-08-20,21820,Ret,Chennai,30,2026-02-11,426.0,Chennai,Mumbai,Delhi,Mumbai,0,,2420.0,2024-04-28
M-1001,O-45082,Amoxicillin,Antibiotic for bacterial infections.,B-9940,2024-06-29,104663,Ret,Bangalore,9,2026-05-10,514.0,Bangalore,Lucknow,Delhi,Bangalore,0,,4190.0,2024-07-29
M-1006,O-39402,Omeprazole,Treats GERD and other stomach issues.,B-5313,2024-10-29,48040,RMS,Jaipur,44,2025-09-03,,Chennai,Jaipur,Hyderabad,Jaipur,0,,,2024-12-10
M-1010,O-82562,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-3632,2024-05-23,76980,Man,Mumbai,1,2026-06-06,541.0,Hyderabad,Delhi,Mumbai,Hyderabad,0,,,2024-06-07
M-1005,O-65897,Metformin,Controls blood sugar in type 2 diabetes.,B-8535,2021-04-19,52164,RMS,Mumbai,1333,2022-11-30,,Mumbai,Pune,Kolkata,Mumbai,0,,,2023-11-05
