Medicine ID,Order ID,Name,Description,Batch Number,Order Date,Quantity of Order,Current Stage,Current Stage Location,Days in Current Stage,Expiry Date,Days to Expiry,Retailer Location,Retailer ID,Distributor Location,Distributor ID,Manufacturer Location,Manufacturer ID,Raw Material Supplier Location,RMS ID,Stock at Distributor,Stock Status,Sales Quantity,Sale Date,Order Shortfall,Expiry Risk Score,Turn Over Ratio,Supply Chain Velocity,Stage Transition Time,Time to Critical,Predicted Expiry Waste,Anomaly Score,Lead Time,RMS ID,Manufacturer ID,Distributor ID,Retailer ID
M-1004,O-57746,Azithromycin,Antibiotic for bacterial infections.,B-8102,2020-08-13,17090,Dis,Chennai,17,2022-09-16,-818.0,Chennai,RET-8,Chennai,DIS-9,Jaipur,MAN-4,Mumbai,RMS-6,1606,Understock,0.0,2021-11-06,15484,-1.9633251833740832,0.0,450,17,0,0.0,15484,450,RMS-6,MAN-4,DIS-9,RET-8
M-1006,O-14861,Omeprazole,Treats GERD and other stomach issues.,B-9117,2021-07-19,55450,Dis,Ahmedabad,27,2023-04-22,-600.0,Delhi,RET-7,Ahmedabad,DIS-7,Mumbai,MAN-8,Chennai,RMS-1,20412,Understock,0.0,2023-12-28,35038,-34.02,0.0,892,27,10412,0.0,35038,892,RMS-1,MAN-8,DIS-7,RET-7
M-1000,O-54685,Paracetamol,Relieves fever & mild to moderate pain.,B-7439,2021-04-25,73040,Ret,Mumbai,11,2023-08-27,-473.0,Mumbai,RET-9,Chennai,DIS-9,Ahmedabad,MAN-7,Ahmedabad,RMS-8,0,0,8000.0,2023-10-03,73040,-0.0,0.10952902519167579,891,11,0,-4318.49,73040,891,RMS-8,MAN-7,DIS-9,RET-9
M-1002,O-14445,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-7801,2022-01-14,44280,Man,Jaipur,12,2023-11-26,-382.0,Pune,RET-4,Jaipur,DIS-5,Jaipur,MAN-4,Jaipur,RMS-2,0,0,0.0,2023-04-11,44280,-0.0,0.0,452,12,0,0.0,44280,452,RMS-2,MAN-4,DIS-5,RET-4
M-1006,O-93805,Omeprazole,Treats GERD and other stomach issues.,B-5018,2020-04-15,85090,Dis,Bangalore,14,2021-12-12,-1096.0,Bangalore,RET-2,Bangalore,DIS-10,Hyderabad,MAN-6,Mumbai,RMS-6,32410,Optimal,0.0,2023-02-04,52680,-29.57116788321168,0.0,1025,14,22410,0.0,52680,1025,RMS-6,MAN-6,DIS-10,RET-2
M-1000,O-35756,Paracetamol,Relieves fever & mild to moderate pain.,B-1695,2021-09-09,48180,Man,Kolkata,8,2022-09-25,-809.0,Jaipur,RET-10,Hyderabad,DIS-8,Kolkata,MAN-9,Chennai,RMS-1,0,0,0.0,2024-06-27,48180,-0.0,0.0,1022,8,0,0.0,48180,1022,RMS-1,MAN-9,DIS-8,RET-10
M-1006,O-79843,Omeprazole,Treats GERD and other stomach issues.,B-9864,2021-11-18,10020,RMS,Bangalore,1120,2022-05-24,0.0,Kolkata,RET-6,Pune,DIS-6,Lucknow,MAN-10,Bangalore,RMS-3,0,0,0.0,2022-02-26,10020,0.0,0.0,100,1120,0,0.0,10020,100,RMS-3,MAN-10,DIS-6,RET-6
M-1007,O-43521,Cetirizine,Antihistamine for allergy symptoms.,B-8976,2020-04-28,4910,RMS,Mumbai,1689,2021-10-05,0.0,Kolkata,RET-6,Bangalore,DIS-10,Mumbai,MAN-8,Mumbai,RMS-6,0,0,0.0,2020-05-09,4910,0.0,0.0,11,1689,0,0.0,4910,11,RMS-6,MAN-8,DIS-10,RET-6
M-1013,O-18578,Montelukast,Prevents asthma & seasonal allergies.,B-7064,2022-02-06,86600,Ret,Jaipur,1,2025-01-23,42.0,Jaipur,RET-10,Ahmedabad,DIS-7,Hyderabad,MAN-6,Ahmedabad,RMS-8,0,0,7440.0,2022-07-02,86600,0.0,0.0859122401847575,146,1,0,488.87096774193543,86600,146,RMS-8,MAN-6,DIS-7,RET-10
M-1013,O-45411,Montelukast,Prevents asthma & seasonal allergies.,B-6109,2022-02-06,55780,Dis,Delhi,1,2024-06-25,-170.0,Jaipur,RET-10,Delhi,DIS-4,Lucknow,MAN-10,Mumbai,RMS-6,10747,Understock,0.0,2024-04-09,45033,-63.21764705882353,0.0,793,1,747,0.0,45033,793,RMS-6,MAN-10,DIS-4,RET-10
M-1006,O-45760,Omeprazole,Treats GERD and other stomach issues.,B-9106,2023-10-17,83300,Dis,Chennai,18,2024-12-02,-10.0,Mumbai,RET-9,Chennai,DIS-9,Bangalore,MAN-1,Delhi,RMS-9,37700,Optimal,0.0,2024-03-15,45600,-3770.0,0.0,150,18,27700,0.0,45600,150,RMS-9,MAN-1,DIS-9,RET-9
M-1011,O-86266,Pantoprazole,Treats stomach & esophagus problems.,B-6965,2024-06-22,96700,Ret,Chennai,19,2027-06-11,911.0,Chennai,RET-8,Hyderabad,DIS-8,Delhi,MAN-2,Ahmedabad,RMS-8,0,0,7440.0,2024-10-29,96700,0.0,0.07693898655635988,129,19,0,11840.551075268817,96700,129,RMS-8,MAN-2,DIS-8,RET-8
M-1006,O-49721,Omeprazole,Treats GERD and other stomach issues.,B-4547,2023-10-12,24080,Dis,Jaipur,14,2025-03-31,109.0,Ahmedabad,RET-1,Jaipur,DIS-5,Delhi,MAN-2,Mumbai,RMS-6,22716,Understock,0.0,2024-06-08,1364,208.40366972477065,0.0,240,14,12716,0.0,1364,240,RMS-6,MAN-2,DIS-5,RET-1
M-1003,O-33495,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-2471,2020-12-25,28670,Man,Chennai,3,2023-10-27,-412.0,Mumbai,RET-9,Lucknow,DIS-3,Chennai,MAN-5,Pune,RMS-7,0,0,0.0,2023-03-26,28670,-0.0,0.0,821,3,0,0.0,28670,821,RMS-7,MAN-5,DIS-3,RET-9
M-1004,O-45189,Azithromycin,Antibiotic for bacterial infections.,B-8549,2021-10-10,94690,Ret,Lucknow,16,2022-08-01,-864.0,Lucknow,RET-5,Ahmedabad,DIS-7,Hyderabad,MAN-6,Delhi,RMS-9,0,0,8680.0,2021-11-24,94690,-0.0,0.09166754673143944,45,16,0,-9425.364055299538,94690,45,RMS-9,MAN-6,DIS-7,RET-5
M-1006,O-62938,Omeprazole,Treats GERD and other stomach issues.,B-2489,2021-11-04,58010,Ret,Jaipur,13,2023-01-04,-708.0,Jaipur,RET-10,Chennai,DIS-9,Kolkata,MAN-9,Mumbai,RMS-6,0,0,7510.0,2023-11-06,58010,-0.0,0.12946043785554215,732,13,0,-5468.852197070572,58010,732,RMS-6,MAN-9,DIS-9,RET-10
M-1009,O-29609,Cefixime,Antibiotic for respiratory and UTI infections.,B-5398,2023-01-29,29090,Man,Chennai,3,2023-10-17,-422.0,Chennai,RET-8,Delhi,DIS-4,Chennai,MAN-5,Chennai,RMS-1,0,0,0.0,2023-02-15,29090,-0.0,0.0,17,3,0,0.0,29090,17,RMS-1,MAN-5,DIS-4,RET-8
M-1013,O-94129,Montelukast,Prevents asthma & seasonal allergies.,B-3898,2022-10-07,81200,RMS,Pune,797,2025-09-11,0.0,Jaipur,RET-10,Bangalore,DIS-10,Mumbai,MAN-8,Pune,RMS-7,0,0,0.0,2024-06-10,81200,0.0,0.0,612,797,0,0.0,81200,612,RMS-7,MAN-8,DIS-10,RET-10
M-1010,O-82352,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-2723,2020-10-16,58644,Dis,Delhi,22,2022-08-02,-863.0,Pune,RET-4,Delhi,DIS-4,Lucknow,MAN-10,Hyderabad,RMS-4,8133,Understock,0.0,2020-11-24,50511,-9.424101969872538,0.0,39,22,0,0.0,50511,39,RMS-4,MAN-10,DIS-4,RET-4
M-1009,O-39445,Cefixime,Antibiotic for respiratory and UTI infections.,B-7358,2023-01-26,93630,RMS,Ahmedabad,686,2025-07-26,0.0,Delhi,RET-7,Lucknow,DIS-3,Bangalore,MAN-1,Ahmedabad,RMS-8,0,0,0.0,2024-04-19,93630,0.0,0.0,449,686,0,0.0,93630,449,RMS-8,MAN-1,DIS-3,RET-7
M-1004,O-80717,Azithromycin,Antibiotic for bacterial infections.,B-4222,2023-12-19,99730,Ret,Jaipur,18,2026-03-10,453.0,Jaipur,RET-10,Ahmedabad,DIS-7,Kolkata,MAN-9,Chennai,RMS-1,0,0,7180.0,2024-10-31,99730,0.0,0.07199438483906548,317,18,0,6292.157381615598,99730,317,RMS-1,MAN-9,DIS-7,RET-10
M-1007,O-19860,Cetirizine,Antihistamine for allergy symptoms.,B-8097,2021-02-15,31560,Ret,Hyderabad,5,2023-07-08,-523.0,Hyderabad,RET-3,Lucknow,DIS-3,Mumbai,MAN-8,Ahmedabad,RMS-8,0,0,3860.0,2023-01-10,31560,-0.0,0.12230671736375158,694,5,0,-4276.134715025906,31560,694,RMS-8,MAN-8,DIS-3,RET-3
M-1014,O-83817,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-2603,2023-08-31,81488,Ret,Bangalore,27,2026-05-15,519.0,Bangalore,RET-2,Jaipur,DIS-5,Bangalore,MAN-1,Bangalore,RMS-3,0,0,4210.0,2024-11-18,81488,0.0,0.05166404869428628,445,27,0,10045.670308788598,81488,445,RMS-3,MAN-1,DIS-5,RET-2
M-1000,O-70881,Paracetamol,Relieves fever & mild to moderate pain.,B-8053,2024-11-10,53740,Man,Kolkata,28,2025-11-27,350.0,Lucknow,RET-5,Chennai,DIS-9,Kolkata,MAN-9,Bangalore,RMS-3,0,0,0.0,2024-11-23,53740,0.0,0.0,13,28,0,0.0,53740,13,RMS-3,MAN-9,DIS-9,RET-5
M-1003,O-29645,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-1310,2022-03-06,90700,Man,Delhi,6,2023-01-21,-691.0,Ahmedabad,RET-1,Hyderabad,DIS-8,Delhi,MAN-2,Pune,RMS-7,0,0,0.0,2024-02-26,90700,-0.0,0.0,722,6,0,0.0,90700,722,RMS-7,MAN-2,DIS-8,RET-1
M-1004,O-88832,Azithromycin,Antibiotic for bacterial infections.,B-8899,2024-10-19,90340,RMS,Delhi,54,2025-05-19,0.0,Pune,RET-4,Pune,DIS-6,Jaipur,MAN-4,Delhi,RMS-9,0,0,0.0,2024-11-29,90340,0.0,0.0,41,54,0,0.0,90340,41,RMS-9,MAN-4,DIS-6,RET-4
M-1000,O-91086,Paracetamol,Relieves fever & mild to moderate pain.,B-4160,2024-11-02,76210,Man,Bangalore,22,2026-05-13,517.0,Hyderabad,RET-3,Hyderabad,DIS-8,Bangalore,MAN-1,Hyderabad,RMS-4,0,0,0.0,2024-11-13,76210,0.0,0.0,11,22,0,0.0,76210,11,RMS-4,MAN-1,DIS-8,RET-3
M-1010,O-16696,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-3136,2022-06-23,76440,Dis,Ahmedabad,6,2024-12-30,18.0,Hyderabad,RET-3,Ahmedabad,DIS-7,Pune,MAN-3,Hyderabad,RMS-4,12770,Understock,0.0,2023-08-06,63670,709.4444444444445,0.0,409,6,2770,0.0,63670,409,RMS-4,MAN-3,DIS-7,RET-3
M-1000,O-61938,Paracetamol,Relieves fever & mild to moderate pain.,B-1648,2022-03-22,35320,RMS,Lucknow,996,2024-12-27,0.0,Hyderabad,RET-3,Chennai,DIS-9,Bangalore,MAN-1,Lucknow,RMS-5,0,0,0.0,2023-07-13,35320,0.0,0.0,478,996,0,0.0,35320,478,RMS-5,MAN-1,DIS-9,RET-3
M-1013,O-20370,Montelukast,Prevents asthma & seasonal allergies.,B-5022,2023-07-27,79700,Man,Lucknow,18,2025-03-07,85.0,Chennai,RET-8,Lucknow,DIS-3,Lucknow,MAN-10,Kolkata,RMS-10,0,0,0.0,2023-08-05,79700,0.0,0.0,9,18,0,0.0,79700,9,RMS-10,MAN-10,DIS-3,RET-8
M-1013,O-81471,Montelukast,Prevents asthma & seasonal allergies.,B-1749,2021-10-31,21170,Dis,Lucknow,23,2024-05-21,-205.0,Kolkata,RET-6,Lucknow,DIS-3,Lucknow,MAN-10,Chennai,RMS-1,14190,Understock,0.0,2022-03-19,6980,-69.21951219512195,0.0,139,23,4190,0.0,6980,139,RMS-1,MAN-10,DIS-3,RET-6
M-1014,O-12875,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-3234,2024-01-05,92570,RMS,Chennai,342,2025-12-02,0.0,Delhi,RET-7,Bangalore,DIS-10,Bangalore,MAN-1,Chennai,RMS-1,0,0,0.0,2024-03-07,92570,0.0,0.0,62,342,0,0.0,92570,62,RMS-1,MAN-1,DIS-10,RET-7
M-1002,O-60763,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-6608,2022-05-31,1270,RMS,Kolkata,926,2024-08-17,0.0,Delhi,RET-7,Chennai,DIS-9,Bangalore,MAN-1,Kolkata,RMS-10,0,0,0.0,2022-10-13,1270,0.0,0.0,135,926,0,0.0,1270,135,RMS-10,MAN-1,DIS-9,RET-7
M-1009,O-63098,Cefixime,Antibiotic for respiratory and UTI infections.,B-9861,2020-08-29,51430,Ret,Chennai,6,2023-03-01,-652.0,Chennai,RET-8,Mumbai,DIS-2,Jaipur,MAN-4,Kolkata,RMS-10,0,0,3720.0,2022-10-11,51430,-0.0,0.07233132412988529,773,6,0,-9014.075268817203,51430,773,RMS-10,MAN-4,DIS-2,RET-8
M-1013,O-67442,Montelukast,Prevents asthma & seasonal allergies.,B-3717,2021-07-05,11160,Dis,Kolkata,12,2022-07-20,-876.0,Lucknow,RET-5,Kolkata,DIS-1,Chennai,MAN-5,Kolkata,RMS-10,28058,Understock,0.0,2023-07-21,-16898,-32.029680365296805,0.0,746,12,18058,0.0,16898,746,RMS-10,MAN-5,DIS-1,RET-5
M-1009,O-16635,Cefixime,Antibiotic for respiratory and UTI infections.,B-7910,2021-05-20,67940,Dis,Pune,1,2023-01-20,-692.0,Hyderabad,RET-3,Pune,DIS-6,Bangalore,MAN-1,Pune,RMS-7,10910,Understock,0.0,2022-06-19,57030,-15.765895953757225,0.0,395,1,910,0.0,57030,395,RMS-7,MAN-1,DIS-6,RET-3
M-1012,O-31768,Levofloxacin,Antibiotic for bacterial infections.,B-7048,2021-09-05,80360,Man,Lucknow,17,2022-12-10,-733.0,Pune,RET-4,Jaipur,DIS-5,Lucknow,MAN-10,Chennai,RMS-1,0,0,0.0,2023-05-01,80360,-0.0,0.0,603,17,0,0.0,80360,603,RMS-1,MAN-10,DIS-5,RET-4
M-1010,O-77720,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-7249,2024-03-24,72580,Man,Hyderabad,30,2026-08-28,624.0,Kolkata,RET-6,Chennai,DIS-9,Hyderabad,MAN-6,Pune,RMS-7,0,0,0.0,2024-07-27,72580,0.0,0.0,125,30,0,0.0,72580,125,RMS-7,MAN-6,DIS-9,RET-6
M-1005,O-39828,Metformin,Controls blood sugar in type 2 diabetes.,B-2933,2023-06-16,47120,RMS,Ahmedabad,545,2025-06-22,0.0,Lucknow,RET-5,Lucknow,DIS-3,Hyderabad,MAN-6,Ahmedabad,RMS-8,0,0,0.0,2024-05-04,47120,0.0,0.0,323,545,0,0.0,47120,323,RMS-8,MAN-6,DIS-3,RET-5
M-1003,O-81441,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-1856,2022-12-07,89950,RMS,Hyderabad,736,2025-06-29,0.0,Ahmedabad,RET-1,Jaipur,DIS-5,Pune,MAN-3,Hyderabad,RMS-4,0,0,0.0,2024-03-16,89950,0.0,0.0,465,736,0,0.0,89950,465,RMS-4,MAN-3,DIS-5,RET-1
M-1014,O-65843,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-3154,2021-03-21,42430,RMS,Kolkata,1362,2023-03-14,0.0,Ahmedabad,RET-1,Jaipur,DIS-5,Ahmedabad,MAN-7,Kolkata,RMS-10,0,0,0.0,2022-05-24,42430,0.0,0.0,429,1362,0,0.0,42430,429,RMS-10,MAN-7,DIS-5,RET-1
M-1002,O-53766,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-7997,2023-03-24,8558,Ret,Bangalore,18,2023-11-27,-381.0,Bangalore,RET-2,Mumbai,DIS-2,Delhi,MAN-2,Jaipur,RMS-2,0,0,4790.0,2023-07-19,8558,-0.0,0.5597102126665109,117,18,0,-680.7093945720251,8558,117,RMS-2,MAN-2,DIS-2,RET-2
M-1011,O-30649,Pantoprazole,Treats stomach & esophagus problems.,B-6758,2023-03-17,91840,Man,Mumbai,29,2024-10-20,-53.0,Mumbai,RET-9,Hyderabad,DIS-8,Mumbai,MAN-8,Bangalore,RMS-3,0,0,0.0,2024-01-21,91840,-0.0,0.0,310,29,0,0.0,91840,310,RMS-3,MAN-8,DIS-8,RET-9
M-1013,O-75127,Montelukast,Prevents asthma & seasonal allergies.,B-9092,2024-03-30,41480,Man,Hyderabad,2,2026-05-13,517.0,Pune,RET-4,Lucknow,DIS-3,Hyderabad,MAN-6,Chennai,RMS-1,0,0,0.0,2024-11-18,41480,0.0,0.0,233,2,0,0.0,41480,233,RMS-1,MAN-6,DIS-3,RET-4
M-1004,O-49918,Azithromycin,Antibiotic for bacterial infections.,B-6137,2022-05-29,61580,Man,Chennai,1,2023-01-15,-697.0,Delhi,RET-7,Bangalore,DIS-10,Chennai,MAN-5,Pune,RMS-7,0,0,0.0,2022-12-28,61580,-0.0,0.0,213,1,0,0.0,61580,213,RMS-7,MAN-5,DIS-10,RET-7
M-1013,O-32710,Montelukast,Prevents asthma & seasonal allergies.,B-7966,2020-12-06,95540,RMS,Bangalore,1467,2022-05-03,0.0,Chennai,RET-8,Kolkata,DIS-1,Jaipur,MAN-4,Bangalore,RMS-3,0,0,0.0,2024-11-11,95540,0.0,0.0,1436,1467,0,0.0,95540,1436,RMS-3,MAN-4,DIS-1,RET-8
M-1000,O-63186,Paracetamol,Relieves fever & mild to moderate pain.,B-6547,2023-05-25,40130,Man,Kolkata,18,2025-11-20,343.0,Hyderabad,RET-3,Bangalore,DIS-10,Kolkata,MAN-9,Mumbai,RMS-6,0,0,0.0,2024-05-20,40130,0.0,0.0,361,18,0,0.0,40130,361,RMS-6,MAN-9,DIS-10,RET-3
M-1014,O-42576,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-5536,2022-01-23,69100,Ret,Kolkata,5,2022-12-18,-725.0,Kolkata,RET-6,Jaipur,DIS-5,Lucknow,MAN-10,Hyderabad,RMS-4,0,0,1010.0,2023-02-01,69100,-0.0,0.014616497829232996,374,5,0,-49601.48514851485,69100,374,RMS-4,MAN-10,DIS-5,RET-6
M-1000,O-50404,Paracetamol,Relieves fever & mild to moderate pain.,B-7633,2022-08-10,52480,Dis,Pune,3,2024-02-05,-311.0,Chennai,RET-8,Pune,DIS-6,Pune,MAN-3,Bangalore,RMS-3,33834,Understock,0.0,2023-06-11,18646,-108.79099678456592,0.0,305,3,23834,0.0,18646,305,RMS-3,MAN-3,DIS-6,RET-8
M-1005,O-54807,Metformin,Controls blood sugar in type 2 diabetes.,B-1154,2024-07-27,78140,Man,Pune,4,2027-05-10,879.0,Bangalore,RET-2,Chennai,DIS-9,Pune,MAN-3,Chennai,RMS-1,0,0,0.0,2024-10-21,78140,0.0,0.0,86,4,0,0.0,78140,86,RMS-1,MAN-3,DIS-9,RET-2
M-1002,O-94306,Ciprofloxacin,"Treats bacterial infections, especially UTI.",B-9730,2023-07-11,55060,Ret,Ahmedabad,15,2025-08-14,245.0,Ahmedabad,RET-1,Mumbai,DIS-2,Pune,MAN-3,Ahmedabad,RMS-8,0,0,8940.0,2023-09-13,55060,0.0,0.16236832546313112,64,15,0,1508.9149888143177,55060,64,RMS-8,MAN-3,DIS-2,RET-1
M-1013,O-39498,Montelukast,Prevents asthma & seasonal allergies.,B-6264,2024-06-11,98830,Man,Jaipur,6,2026-09-27,654.0,Hyderabad,RET-3,Hyderabad,DIS-8,Jaipur,MAN-4,Pune,RMS-7,0,0,0.0,2024-06-15,98830,0.0,0.0,4,6,0,0.0,98830,4,RMS-7,MAN-4,DIS-8,RET-3
M-1013,O-99186,Montelukast,Prevents asthma & seasonal allergies.,B-4013,2023-11-27,49610,Dis,Lucknow,13,2026-02-26,441.0,Bangalore,RET-2,Lucknow,DIS-3,Pune,MAN-3,Ahmedabad,RMS-8,7746,Understock,0.0,2024-01-21,41864,17.564625850340136,0.0,55,13,0,0.0,41864,55,RMS-8,MAN-3,DIS-3,RET-2
M-1000,O-78963,Paracetamol,Relieves fever & mild to moderate pain.,B-9990,2024-04-21,42370,Dis,Delhi,3,2026-04-05,479.0,Delhi,RET-7,Delhi,DIS-4,Jaipur,MAN-4,Pune,RMS-7,4324,Understock,0.0,2024-11-03,38046,9.02713987473904,0.0,196,3,0,0.0,38046,196,RMS-7,MAN-4,DIS-4,RET-7
M-1012,O-64826,Levofloxacin,Antibiotic for bacterial infections.,B-4516,2022-12-03,59295,RMS,Mumbai,740,2023-07-31,0.0,Lucknow,RET-5,Ahmedabad,DIS-7,Delhi,MAN-2,Mumbai,RMS-6,0,0,0.0,2023-06-23,59295,0.0,0.0,202,740,0,0.0,59295,202,RMS-6,MAN-2,DIS-7,RET-5
