Medicine ID,Order ID,Name,Description,Batch Number,Order Date,Quantity of Order,Current Stage,Current Stage Location,Days in Current Stage,Expiry Date,Days to Expiry,Retailer Location,Retailer ID,Distributor Location,Distributor ID,Manufacturer Location,Manufacturer ID,Raw Material Supplier Location,RMS ID,Stock at Distributor,Stock Status,Sales Quantity,Sale Date,Order Shortfall,Expiry Risk Score,Turn Over Ratio,Supply Chain Velocity,Stage Transition Time,Time to Critical,Lead Time,Predicted Expiry Waste,Anomaly Score,RMS ID,Manufacturer ID,Distributor ID,Retailer ID
M-1004,O-34272,Azithromycin,Antibiotic for bacterial infections.,B-9994,2021-06-25,79910,Dis,Lucknow,3,2022-09-13,-820.0,Delhi,RET-5,Lucknow,DIS-4,Hyderabad,MAN-1,Lucknow,RMS-10,47592,Optimal,0.0,2022-10-02,32318,-58.0390243902439,0.0,464,3,37592,0.0,-65526200.0,32318,RMS-10,MAN-1,DIS-4,RET-5
M-1007,O-28707,Cetirizine,Antihistamine for allergy symptoms.,B-2935,2023-07-18,89550,Ret,Kolkata,21,2024-03-24,-262.0,Kolkata,RET-7,Jaipur,DIS-8,Pune,MAN-10,Delhi,RMS-8,0,0,2350.0,2024-01-23,89550,-0.0,0.026242322724734785,189,21,0,0.0,-9983.872340425532,89550,RMS-8,MAN-10,DIS-8,RET-7
M-1004,O-20464,Azithromycin,Antibiotic for bacterial infections.,B-1987,2024-01-22,88820,Ret,Hyderabad,15,2025-05-03,143.0,Hyderabad,RET-9,Bangalore,DIS-7,Mumbai,MAN-3,Delhi,RMS-8,0,0,9230.0,2024-03-29,88820,0.0,0.10391803647827066,67,15,0,0.0,1376.0845070422536,88820,RMS-8,MAN-3,DIS-7,RET-9
M-1001,O-76198,Amoxicillin,Antibiotic for bacterial infections.,B-6235,2024-09-27,20980,Man,Bangalore,24,2027-03-15,824.0,Delhi,RET-5,Lucknow,DIS-4,Bangalore,MAN-9,Bangalore,RMS-2,0,0,0.0,2024-10-29,20980,0.0,0.0,32,24,0,0.0,17287520.0,20980,RMS-2,MAN-9,DIS-4,RET-5
M-1012,O-36135,Levofloxacin,Antibiotic for bacterial infections.,B-2506,2024-03-23,2010,Dis,Hyderabad,28,2026-09-28,656.0,Kolkata,RET-7,Hyderabad,DIS-1,Pune,MAN-10,Delhi,RMS-8,48574,Understock,0.0,2024-09-07,-46564,74.04573170731707,0.0,168,28,38574,0.0,1318560.0,46564,RMS-8,MAN-10,DIS-1,RET-7
M-1000,O-31546,Paracetamol,Relieves fever & mild to moderate pain.,B-3260,2021-01-05,184860,RMS,Jaipur,1436,2022-01-22,0.0,Pune,RET-4,Jaipur,DIS-8,Delhi,MAN-6,Jaipur,RMS-7,0,0,0.0,2024-05-09,184860,0.0,0.0,1220,1436,0,0.0,0.0,184860,RMS-7,MAN-6,DIS-8,RET-4
M-1000,O-84760,Paracetamol,Relieves fever & mild to moderate pain.,B-2467,2020-02-24,129960,Ret,Delhi,30,2021-05-03,-1318.0,Delhi,RET-5,Bangalore,DIS-7,Kolkata,MAN-5,Hyderabad,RMS-1,0,0,7620.0,2023-05-27,129960,-0.0,0.05863342566943675,1188,30,0,0.0,-22478.645669291338,129960,RMS-1,MAN-5,DIS-7,RET-5
M-1000,O-53685,Paracetamol,Relieves fever & mild to moderate pain.,B-4893,2021-04-05,57770,Ret,Jaipur,3,2023-06-22,-538.0,Jaipur,RET-1,Pune,DIS-5,Mumbai,MAN-3,Delhi,RMS-8,0,0,1830.0,2021-11-22,57770,-0.0,0.031677341180543536,231,3,0,0.0,-16983.748633879783,57770,RMS-8,MAN-3,DIS-5,RET-1
M-1010,O-21849,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-2126,2022-07-16,87810,Ret,Hyderabad,20,2023-08-29,-470.0,Hyderabad,RET-9,Kolkata,DIS-9,Delhi,MAN-6,Bangalore,RMS-2,0,0,4020.0,2023-01-24,87810,-0.0,0.04578066279467031,192,20,0,0.0,-10266.34328358209,87810,RMS-2,MAN-6,DIS-9,RET-9
M-1000,O-63297,Paracetamol,Relieves fever & mild to moderate pain.,B-1069,2022-01-30,33460,Man,Bangalore,12,2023-12-21,-356.0,Lucknow,RET-10,Lucknow,DIS-4,Bangalore,MAN-9,Jaipur,RMS-7,0,0,0.0,2022-02-09,33460,-0.0,0.0,10,12,0,0.0,-11911760.0,33460,RMS-7,MAN-9,DIS-4,RET-10
M-1010,O-66600,Aspirin,"Reduces pain, fever, inflammation, and prevents heart attacks.",B-6527,2022-07-30,64340,Dis,Jaipur,21,2023-05-21,-570.0,Hyderabad,RET-9,Jaipur,DIS-8,Lucknow,MAN-4,Chennai,RMS-3,38818,Optimal,0.0,2023-11-23,25522,-68.10175438596491,0.0,481,21,28818,0.0,-36673800.0,25522,RMS-3,MAN-4,DIS-8,RET-9
M-1000,O-63262,Paracetamol,Relieves fever & mild to moderate pain.,B-5682,2020-09-03,31830,Ret,Mumbai,27,2023-03-17,-635.0,Mumbai,RET-8,Bangalore,DIS-7,Lucknow,MAN-4,Mumbai,RMS-4,0,0,4290.0,2020-10-21,31830,-0.0,0.1347785108388313,48,27,0,0.0,-4711.433566433567,31830,RMS-4,MAN-4,DIS-7,RET-8
M-1011,O-15257,Pantoprazole,Treats stomach & esophagus problems.,B-9380,2023-03-15,35310,Dis,Pune,26,2025-12-20,374.0,Bangalore,RET-3,Pune,DIS-5,Jaipur,MAN-2,Hyderabad,RMS-1,12945,Understock,0.0,2024-01-10,22365,34.61229946524064,0.0,301,26,2945,0.0,13205940.0,22365,RMS-1,MAN-2,DIS-5,RET-3
M-1000,O-87784,Paracetamol,Relieves fever & mild to moderate pain.,B-8741,2023-12-10,44500,Man,Jaipur,29,2024-06-25,-169.0,Jaipur,RET-1,Kolkata,DIS-9,Jaipur,MAN-2,Lucknow,RMS-10,0,0,0.0,2024-07-29,44500,-0.0,0.0,232,29,0,0.0,-7520500.0,44500,RMS-10,MAN-2,DIS-9,RET-1
M-1000,O-37452,Paracetamol,Relieves fever & mild to moderate pain.,B-9970,2024-02-26,69000,RMS,Chennai,289,2026-06-19,0.0,Delhi,RET-5,Bangalore,DIS-7,Lucknow,MAN-4,Chennai,RMS-3,0,0,0.0,2024-04-14,69000,0.0,0.0,48,289,0,0.0,0.0,69000,RMS-3,MAN-4,DIS-7,RET-5
M-1013,O-21376,Montelukast,Prevents asthma & seasonal allergies.,B-2511,2020-04-02,105228,Dis,Ahmedabad,1,2022-06-09,-916.0,Bangalore,RET-3,Ahmedabad,DIS-3,Bangalore,MAN-9,Lucknow,RMS-10,26543,Optimal,0.0,2021-03-23,78685,-28.97707423580786,0.0,355,1,16543,0.0,-96388848.0,78685,RMS-10,MAN-9,DIS-3,RET-3
M-1013,O-10010,Montelukast,Prevents asthma & seasonal allergies.,B-1341,2024-11-21,17640,Dis,Hyderabad,12,2026-07-12,578.0,Lucknow,RET-10,Hyderabad,DIS-1,Ahmedabad,MAN-8,Hyderabad,RMS-1,43236,Understock,0.0,2024-11-24,-25596,74.80276816608996,0.0,3,12,33236,0.0,10195920.0,25596,RMS-1,MAN-8,DIS-1,RET-10
M-1001,O-55106,Amoxicillin,Antibiotic for bacterial infections.,B-2289,2020-11-02,21770,RMS,Bangalore,1500,2021-08-20,0.0,Ahmedabad,RET-6,Ahmedabad,DIS-3,Mumbai,MAN-3,Bangalore,RMS-2,0,0,0.0,2022-10-24,21770,0.0,0.0,721,1500,0,0.0,0.0,21770,RMS-2,MAN-3,DIS-3,RET-6
M-1005,O-19285,Metformin,Controls blood sugar in type 2 diabetes.,B-8772,2024-05-18,72600,Man,Pune,11,2026-07-13,579.0,Chennai,RET-2,Delhi,DIS-6,Pune,MAN-10,Hyderabad,RMS-1,0,0,0.0,2024-08-10,72600,0.0,0.0,84,11,0,0.0,42035400.0,72600,RMS-1,MAN-10,DIS-6,RET-2
M-1014,O-48518,Atorvastatin,Lowers cholesterol and reduces heart disease risk.,B-3464,2020-04-04,30160,RMS,Mumbai,1712,2021-10-10,0.0,Delhi,RET-5,Mumbai,DIS-2,Lucknow,MAN-4,Mumbai,RMS-4,0,0,0.0,2023-11-24,30160,0.0,0.0,1329,1712,0,0.0,0.0,30160,RMS-4,MAN-4,DIS-2,RET-5
M-1003,O-30591,Ibuprofen,"NSAID for pain, fever, and inflammation.",B-6939,2024-08-03,97830,RMS,Hyderabad,130,2027-01-12,0.0,Lucknow,RET-10,Mumbai,DIS-2,Chennai,MAN-7,Hyderabad,RMS-1,0,0,0.0,2024-10-09,97830,0.0,0.0,67,130,0,0.0,0.0,97830,RMS-1,MAN-7,DIS-2,RET-10
M-1004,O-64147,Azithromycin,Antibiotic for bacterial infections.,B-2537,2022-02-11,15270,Ret,Kolkata,6,2023-03-23,-629.0,Kolkata,RET-7,Hyderabad,DIS-1,Chennai,MAN-7,Ahmedabad,RMS-9,0,0,2400.0,2023-11-18,15270,-0.0,0.15717092337917485,645,6,0,0.0,-4002.0125,15270,RMS-9,MAN-7,DIS-1,RET-7
M-1004,O-94079,Azithromycin,Antibiotic for bacterial infections.,B-9437,2020-02-22,89790,RMS,Jaipur,1754,2021-05-22,0.0,Mumbai,RET-8,Delhi,DIS-6,Bangalore,MAN-9,Jaipur,RMS-7,0,0,0.0,2020-03-27,89790,0.0,0.0,34,1754,0,0.0,0.0,89790,RMS-7,MAN-9,DIS-6,RET-8
M-1008,O-59476,Dolo 650,Brand of paracetamol for pain & fever.,B-8599,2023-12-10,31890,Man,Lucknow,7,2024-07-21,-143.0,Hyderabad,RET-9,Lucknow,DIS-4,Lucknow,MAN-4,Delhi,RMS-8,0,0,0.0,2024-07-13,31890,-0.0,0.0,216,7,0,0.0,-4560270.0,31890,RMS-8,MAN-4,DIS-4,RET-9
